depth	min	max	median	mean
0	-68.5	-68.5	-68.5	-68.5
1	-67.4	-67.2	-67.3	-67.3
2	-65.9	-65.5	-65.7	-65.7
3	-64.1	-63.5	-63.8	-63.8
4	-62.3	-61.6	-62	-62
5	-60.3	-59.4	-59.9	-59.9
6	-58	-57	-57.5	-57.5
7	-55.6	-54.4	-55	-55
8	-53.2	-51.8	-52.4	-52.5
9	-50.8	-49.2	-50	-50
10	-48.2	-46.4	-47.2	-47.3
11	-46.1	-44	-44.9	-45
12	-43.7	-41.4	-42.5	-42.5
13	-41.4	-38.7	-39.9	-39.9
14	-39	-36.1	-37.4	-37.5
15	-36.4	-33.1	-34.6	-34.6
16	-34.1	-30.4	-32.1	-32.1
17	-31.4	-27.5	-29.2	-29.2
18	-28.6	-24.1	-26.1	-26.1
19	-25.9	-20.9	-23	-23.1
20	-22	-16.4	-18.7	-18.9
21	-14.3	-8.8	-11.3	-11.4
22	-3.6	3.8	0.6	0.5
23	11.4	22.1	18.2	17.8
24	28.5	48.7	41.8	40.9
25	38.2	69	57.7	56.6
26	43.8	85.1	68.6	67.5
27	47.8	103.7	78.8	78.1
28	50.9	125.5	88	88.3
29	54.7	146	97.5	98.5
