depth	min	max	median	mean
0	-70	-70	-70	-70
1	-69.2	-68.5	-69	-69
2	-67.8	-66.8	-67.5	-67.4
3	-65.6	-64.4	-65.1	-65.1
4	-62.7	-61.3	-62	-62
5	-59	-57.3	-58.2	-58.2
6	-54.9	-53	-54	-54
7	-50.5	-48.2	-49.4	-49.4
8	-45.6	-43.1	-44.4	-44.4
9	-40.1	-37.2	-38.7	-38.7
10	-33.5	-30.3	-31.9	-31.9
11	-26.6	-23	-24.8	-24.8
12	-18.7	-14.7	-16.8	-16.8
13	-9.3	-4.7	-7.1	-7.1
14	-0.1	5.2	2.5	2.5
15	10	16.3	13.1	13.1
16	21	28.9	24.8	24.8
17	32.5	42.8	37.6	37.6
18	43.9	57.9	50.7	50.8
19	55.1	74.6	64.4	64.5
20	66.6	95.7	79.9	80.1
21	76.2	118.4	94.9	95.3
22	82.4	133.8	104.8	105.7
23	89.6	148.4	114.8	115.9
24	96.1	163	125.8	126.8
25	102.5	177.1	135.6	136.6
26	108.6	190	145.2	146.3
27	115.4	203.2	155.1	156.1
28	122	216	165	166.1
29	128.8	229.6	175.1	176.2
30	135.4	245.2	184.8	186.3
