depth	min	max	median	mean
0	-70	-70	-70	-70
1	-69.3	-68.7	-69.1	-69.1
2	-68.4	-64.2	-67.4	-67.1
3	-66.5	-61.4	-65.1	-64.8
4	-64.2	-54.8	-61.8	-61.3
5	-61.6	-47.7	-57.7	-56.9
6	-57.5	-41.7	-52.5	-51.8
7	-53.3	-35.7	-47.3	-46.6
8	-49.1	-29.5	-41.8	-41.2
9	-43.6	-19.7	-34.5	-33.8
10	-37.4	-12.1	-27.5	-26.8
11	-31.7	-4.2	-20	-19.5
12	-24.3	12.5	-8.7	-8
13	-15.7	20.3	0.4	0.8
14	-7.8	28.8	9.1	9.5
15	-0.1	40	19.8	19.9
16	8.3	73.2	36.7	37.6
17	17.5	89.7	49.6	50.9
18	27.6	103.9	61.7	63
19	37.2	118.8	73.4	74.6
20	48.2	133.7	85	86.3
21	58.3	146.2	96.1	97.7
22	67.8	160.2	107.8	109.3
23	76	173.1	118.5	120
24	80.3	186.5	126.6	128.3
25	85.7	198.8	136.1	137.7
26	92.9	211.3	145.5	147.4
