depth	min	max	median	mean
0	-56.3	-56.3	-56.3	-56.3
1	-56.3	-56.3	-56.3	-56.3
2	-56.3	-56.2	-56.3	-56.3
3	-56.1	-56	-56.1	-56.1
4	-55.7	-55.7	-55.7	-55.7
5	-55.4	-55.3	-55.3	-55.3
6	-55.1	-55	-55	-55
7	-54.8	-54.7	-54.8	-54.8
8	-54.5	-54.3	-54.4	-54.4
9	-54	-53.8	-53.9	-53.9
10	-53.6	-53.3	-53.4	-53.4
11	-53.2	-52.9	-53	-53
12	-52.8	-52.5	-52.6	-52.6
13	-52.2	-51.9	-52	-52
14	-51.4	-51.1	-51.3	-51.3
15	-50.7	-50.3	-50.5	-50.5
16	-49.8	-49.3	-49.6	-49.6
17	-48.9	-48.4	-48.6	-48.6
18	-48.1	-47.5	-47.8	-47.8
19	-47.3	-46.7	-47	-47
20	-46.5	-45.9	-46.3	-46.2
21	-45.9	-45.3	-45.6	-45.6
22	-45.3	-44.6	-45	-45
23	-44.7	-44.1	-44.4	-44.4
24	-44.2	-43.5	-43.9	-43.9
25	-43.7	-43	-43.4	-43.4
26	-43.3	-42.6	-42.9	-42.9
27	-42.9	-42.1	-42.5	-42.5
28	-42.4	-41.6	-42	-42
29	-41.9	-41	-41.5	-41.5
30	-41.3	-40.5	-40.9	-40.9
31	-40.8	-40	-40.4	-40.4
32	-40.3	-39.5	-39.9	-39.9
33	-40	-39.1	-39.6	-39.6
34	-39.8	-39	-39.4	-39.4
35	-39.7	-38.8	-39.2	-39.2
36	-39.2	-38.3	-38.8	-38.8
37	-38.8	-37.9	-38.4	-38.4
38	-38.4	-37.4	-37.9	-37.9
39	-37.9	-37	-37.5	-37.5
40	-37.5	-36.5	-37	-37
41	-36.9	-36	-36.5	-36.5
42	-36.4	-35.4	-35.9	-35.9
43	-35.7	-34.7	-35.2	-35.2
44	-34.9	-33.8	-34.4	-34.4
45	-34.1	-32.9	-33.5	-33.5
46	-32.9	-31.8	-32.4	-32.4
47	-31.8	-30.6	-31.2	-31.2
48	-31	-29.8	-30.4	-30.4
49	-30.6	-29.4	-30	-30
50	-30.2	-29	-29.6	-29.6
51	-29	-27.8	-28.4	-28.4
52	-27.9	-26.6	-27.2	-27.2
53	-26.7	-25.3	-26	-26
54	-25.5	-24.1	-24.8	-24.8
55	-24.3	-22.9	-23.6	-23.6
56	-23.1	-21.6	-22.4	-22.4
57	-21.8	-20.3	-21.1	-21.1
58	-20.7	-19.1	-19.9	-19.9
59	-19.6	-18	-18.8	-18.8
60	-18.5	-16.8	-17.7	-17.7
61	-17.6	-15.9	-16.7	-16.7
62	-16.7	-15	-15.8	-15.8
63	-15.6	-13.8	-14.7	-14.7
64	-14.3	-12.5	-13.4	-13.4
65	-13	-11.1	-12.1	-12.1
66	-11.5	-9.4	-10.4	-10.4
67	-10	-7.7	-8.8	-8.8
68	-8.4	-5.9	-7.2	-7.2
69	-6.8	-4.1	-5.5	-5.5
70	-5.3	-2.3	-3.8	-3.8
71	-3.9	-0.7	-2.3	-2.3
72	-2.4	0.9	-0.8	-0.8
73	-0.9	2.7	0.9	0.9
74	0.8	4.7	2.7	2.7
75	2.5	6.7	4.6	4.6
76	4	8.4	6.2	6.2
77	5.5	10.2	7.9	7.9
78	7.6	12.8	10.2	10.2
79	10.4	16.1	13.3	13.3
80	13.2	19.5	16.4	16.3
81	17	24.2	20.6	20.6
82	20.9	29.1	25	24.9
83	29.3	42	35.5	35.5
84	41.9	63.9	52.1	52.3
85	54.3	85.9	68.7	69.1
86	58.7	95.8	75.5	76
87	62.1	108.8	81.8	82.8
