"Depth (cm)","Density g/cm^3","210Pb (Bq/kg)","sd(210Pb)","Thickness (cm)","226Ra (Bq/kg)","sd(226Ra)"
1,0.10009133513146,8917.34391381829,401.280476121823,1,15.4318539045786,0.675
2,0.100638144907819,2762.25197311606,124.301338790223,1,15.7888655042851,0.675
3,0.101725773498201,354.056747134524,15.9325536210536,1,14.1919531492025,0.675
4,0.103342304616167,109.361878664897,4.92128453992035,1,15.0138807618823,0.675
5,0.10547002720851,1100.96078889973,49.5432355004879,1,15.3086862657369,0.675
6,0.108085629501251,1262.47962228547,56.8115830028462,1,15.8190249009962,0.675
7,0.111160454408323,610.36551573154,27.4664482079193,1,15.0815567763636,0.675
8,0.114660813504595,211.342858353411,9.51042862590348,1,14.9381302132356,0.675
9,0.118548356123311,51.0094406229227,2.29542482803152,1,14.1842569005988,0.675
10,0.122780489534019,15.0932886837083,1,1,13.3065264647806,0.675
11,0.127310845597441,48.6230728761623,2.1880382794273,1,15.084491858783,0.675
12,0.132089788784509,72.4909075575823,3.2620908400912,1,13.4102938840322,0.675
13,0.137064959993606,52.576171113089,2.36592770008901,1,14.9838983253799,0.675
14,0.142181850207844,27.855528561237,1.25349878525567,1,15.8462702574242,0.675
15,0.147384397707258,17.5071659956169,1,1,16.0576909233884,0.675
16,0.152615602292742,15.6863993874535,1,1,14.5202724786711,0.675
17,0.157818149792156,15.7845811996026,1,1,15.396515338494,0.675
18,0.162935040006394,17.6986414771916,1,1,15.8421400225214,0.675
19,0.167910211215491,17.85623907017,1,1,15.6184746913312,0.675
20,0.172689154402559,16.0115717198924,1,1,14.2072557785084,0.675
21,0.177219510465981,15.5331197270839,1,1,15.3144152633903,0.675
22,0.181451643876689,17.2934649059138,1,1,15.5594414400742,0.675
23,0.185339186495405,14.750364684167,1,1,15.3360323349921,0.675
24,0.188839545591677,14.9847936876959,1,1,15.8292023878085,0.675
25,0.191914370498749,14.6007954017678,1,1,15.273432194646,0.675
26,0.19452997279149,14.7440245437749,1,1,14.7398358778153,0.675
27,0.196657695383833,14.6757326563932,1,1,15.2267831083437,0.675
28,0.198274226501799,16.1083127275497,1,1,14.2246646195958,0.675
29,0.199361855092181,14.6930644538093,1,1,15.5977573429555,0.675
30,0.19990866486854,14.4945744401097,1,1,15.8201998203128,0.675
